"PatientID","Diagnosis","Breed","Age","Sex","Neutered","WeightChange","Weight","Hospitalised","HeartRate","Temperature","Vomiting","Diarrhoea","Hepatomegaly","ThinDrySkin","Alopecia","Pruritus","MuscleWastageWeakness","Lethargy","Panting","Neurological","Polydipsia","Polyuria","IncreasedALKP","IncreasedATL/GGT/AST","LowUSG","Proteinuria","Hypertensive","LowBloodSugar","Hypothyroid","CruciateSurgery"
134,"1","West Highland White Terrier",12,"F",False,"No change",8.86,False,NULL,NULL,False,False,False,False,False,False,False,False,False,False,True,True,"True",NULL,"True",False,False,False,False,False
135,"1","Tibetan Terrier",11,"M",False,"No change",15.3,False,NULL,NULL,False,False,False,False,False,False,False,False,False,False,False,False,"True",NULL,NULL,NULL,False,False,False,False
136,"1","Staffordshire Bull Terrier",12,"M",True,"No change",NULL,False,140,38.4,False,False,True,True,True,False,False,False,False,False,True,True,NULL,NULL,NULL,NULL,False,False,False,False
137,"1","Bichon Frise",7,"F",False,"No change",5.9,False,96,NULL,False,False,True,True,True,False,True,False,False,False,True,True,NULL,NULL,NULL,NULL,False,False,False,False
138,"1","Shih Tzu",14,"M",True,"No change",NULL,False,NULL,NULL,False,False,True,False,False,False,True,False,True,False,True,True,NULL,NULL,NULL,NULL,False,False,False,False
139,"1","Crossbreed",11,"F",True,"No change",NULL,False,120,NULL,True,False,True,True,True,False,False,True,False,False,True,True,NULL,NULL,NULL,NULL,False,False,False,False
140,"1","Crossbreed",11,"M",True,"Weight gain",NULL,False,NULL,39.1,False,False,True,False,False,False,False,False,True,False,True,True,NULL,NULL,NULL,NULL,False,False,False,False
141,"1","Bichon Frise",15,"M",True,"No change",NULL,False,140,38.4,False,False,False,False,True,False,True,False,False,False,False,False,"True","True",NULL,NULL,False,False,False,False
142,"1","Crossbreed",15,"M",True,"Weight gain",10.8,False,NULL,NULL,False,False,False,True,False,False,True,True,False,True,False,False,NULL,NULL,NULL,NULL,False,False,False,False
143,"1","Border Terrier",11,"F",False,"No change",10.2,False,100,NULL,False,False,False,False,False,False,False,False,False,False,True,False,"True","False",NULL,NULL,False,False,False,False
144,"1","Crossbreed",14,"F",True,"No change",13.2,False,NULL,NULL,False,False,False,False,True,False,False,False,True,False,True,True,NULL,NULL,NULL,NULL,False,False,False,False
145,"1","Rottweiler",11,"F",False,"No change",40.2,False,NULL,NULL,False,False,False,False,False,False,False,False,False,False,False,False,"True","True",NULL,NULL,False,False,False,False
146,"1","Lhasa Apso",9,"F",False,"No change",6.9,True,120,39.5,False,False,True,False,False,False,False,False,False,False,True,True,"True","True","True",True,False,False,False,False
147,"1","Border Terrier",7,"F",True,"No change",11.9,False,NULL,NULL,False,False,True,True,True,True,False,False,False,False,True,False,NULL,NULL,NULL,NULL,False,False,False,False
148,"1","Schnauzer",11,"M",True,"Weight gain",NULL,False,100,38.4,False,False,True,False,True,False,False,False,False,False,True,True,"True","True",NULL,NULL,False,False,False,False
149,"1","Jack Russell Terrier",14,"M",True,"No change",11.1,False,NULL,NULL,False,False,False,False,False,False,False,False,False,False,False,False,NULL,NULL,NULL,NULL,False,False,False,False
150,"1","Lhasa Apso",14,"M",True,"No change",10.7,False,120,NULL,False,False,True,True,True,False,False,False,False,True,True,True,"True","True",NULL,NULL,False,False,False,False
151,"1","Crossbreed",9,"M",True,"No change",13.3,False,NULL,NULL,False,False,False,False,False,False,False,True,False,False,False,False,"True","False",NULL,NULL,False,False,False,False
152,"1","Golden Retriever",14,"F",True,"No change",23.35,False,NULL,39.2,False,False,False,False,False,False,True,False,False,False,True,True,"True","True","True",False,False,False,False,False
153,"1","Border Terrier",13,"M",True,"Weight loss",12.8,False,NULL,NULL,False,False,False,False,False,False,True,False,False,False,True,True,"True","True","True",False,False,False,False,False
